bucket	t	throughput	goodput	batchsize	coldstart	warmstart	coldmodel	models	latency_median	latency_p99	latency_max	warmmodel
0	0.0	9895.85	4455.116666666667	7.5319121421967035	0.16666666666666666	4841.116666666667	10.0	258	95.002974	597.6193345	4017.409629	151
1	1.0	8862.25	5402.716666666666	7.563092808260295	0.13333333333333333	5518.8	8.0	220	93.973091	643.4537819600055	4932.330146	117
2	2.0	9118.816666666668	5249.8	7.560638534602907	0.11666666666666667	5376.5	7.0	227	94.269373	688.0603145999993	4993.513465	140
3	3.0	9072.183333333332	5367.066666666667	7.568445171476286	0.23333333333333334	5477.9	13.0	209	94.156262	649.0393882999965	2814.518998	132
4	4.0	9098.983333333334	5288.4	7.574077278968075	0.21666666666666667	5437.133333333333	13.0	232	94.27381	668.3114833	4235.100671	135
5	5.0	9706.9	4049.5	7.495731513912228	0.13333333333333333	4581.883333333333	8.0	285	95.004041	612.08028413	4550.163748	158
6	6.0	9316.116666666667	5063.866666666667	7.5747349346843915	0.06666666666666667	5192.85	4.0	227	94.544612	663.4767297399973	4533.951105	130
7	7.0	8860.166666666666	5051.95	7.588471919206673	0.11666666666666667	5150.883333333333	7.0	208	94.311474	692.1610264600007	5513.479039	130
8	8.0	8880.933333333332	5187.966666666666	7.587636402380734	0.11666666666666667	5297.666666666667	7.0	212	94.279211	744.196911099999	5164.851863	133
9	9.0	8827.983333333334	5410.883333333333	7.574337659990795	0.15	5559.466666666666	8.0	222	94.045577	665.3657115999957	4234.59214	135
10	10.0	9333.366666666667	4251.716666666666	7.549819220289248	0.13333333333333333	4723.633333333333	7.0	259	95.002961	676.2387778799999	2994.388548	162
11	11.0	8862.583333333334	4956.283333333334	7.596127884238135	0.06666666666666667	5052.883333333333	4.0	217	94.395648	710.2926867999952	5964.715335	129
12	12.0	8762.8	5123.566666666667	7.580419352834492	0.1	5225.483333333334	6.0	196	94.257784	676.1415848600006	3540.078249	129
13	13.0	9036.866666666667	5076.766666666666	7.576696258242831	0.05	5184.233333333334	3.0	197	94.396096	676.7787873700001	4005.486354	116
14	14.0	8708.25	4884.35	7.5409799136474565	0.13333333333333333	5000.283333333334	8.0	215	94.341799	740.7483098399997	3889.110977	146
15	15.0	8962.383333333333	4799.4	7.522999097576166	0.13333333333333333	4929.95	7.0	229	94.5775	676.6340007199988	4533.303997	142
16	16.0	9211.716666666667	5304.35	7.611144961896208	0.13333333333333333	5399.5	8.0	199	94.288568	667.2291618999998	3157.885231	121
17	17.0	8971.616666666667	5166.55	7.589020165230523	0.08333333333333333	5269.083333333333	4.0	196	94.319306	702.9537039200018	2733.096166	129
18	18.0	8623.916666666666	5282.6	7.58175597976081	0.1	5402.066666666667	6.0	212	93.979084	678.9761525399994	2312.015593	138
19	19.0	8589.9	5266.15	7.596343656056269	0.16666666666666666	5383.583333333333	9.0	222	93.980676	667.7430947400007	3802.697868	134
20	20.0	9981.6	3887.65	7.560075132617326	0.2	4443.6	12.0	319	95.004693	634.5975437500006	2923.795183	174
21	21.0	9332.183333333332	4876.7	7.58461384890852	0.016666666666666666	4985.3	1.0	216	94.804639	693.3924601999963	4975.457549	113
22	22.0	9269.233333333334	5438.866666666667	7.642580579568529	0.11666666666666667	5554.416666666667	7.0	211	94.184151	673.2365010299991	3160.137218	133
23	23.0	9467.766666666666	5470.766666666666	7.620126188631796	0.06666666666666667	5573.6	4.0	210	94.3127605	661.6708055999993	3475.029484	138
24	24.0	8637.283333333333	5390.433333333333	7.590834968788085	0.06666666666666667	5490.8	4.0	211	93.900803	695.4765566800031	6332.820094	146
25	25.0	8707.35	4878.3	7.56356009147064	0.06666666666666667	5076.766666666666	4.0	235	94.254149	708.7934079999984	3530.769661	151
26	26.0	8739.783333333333	4950.95	7.599867536551246	0.05	5072.433333333333	3.0	207	94.284098	712.5088447400005	4129.421502	143
27	27.0	8575.633333333333	5278.083333333333	7.607751992069514	0.1	5369.216666666666	6.0	200	94.006346	728.0722480600002	3202.071173	133
28	28.0	8387.933333333332	5667.15	7.606363364424985	0.13333333333333333	5768.533333333334	8.0	202	93.6373985	641.28017625	4269.42329	133
